t_value	real_part	imag_part	amplitude
0.0	115.71136396227605	0.0	115.71136396227605
0.01	115.62857471171444	2.678346587857387	115.6595903084012
0.02	115.3804573203524	5.350929607597617	115.50446908721379
0.03	114.96776153230292	8.011996112346193	115.24659766540928
0.04	114.39173248266468	10.655814508850332	114.88696550624248
0.05	113.65410410150024	13.276685507009558	114.42694506612807
0.06	112.75709000066189	15.868953382564982	113.868279283018
0.07	111.70337196023137	18.427017634514765	113.21306588105686
0.08	110.4960861585407	20.945345100599024	112.46373876827516
0.09	109.1388073127499	23.41848257299004	111.62304684818001
0.1	107.63553091527676	25.841069933041236	110.6940306010122
0.11	105.99065376472625	28.207853799555206	109.679996815514
0.12	104.20895299828533	30.5137016604968	108.58449186704631
0.13	102.29556383597661	32.7536164343252	107.41127394294912
0.14	100.25595624602094	34.92275138498839	106.16428461164222
0.15	98.09591073532258	37.016425294829695	104.84762011891392
0.16	95.82149346034781	39.03013778277108	103.46550277417866
0.17	93.43903084208672	40.95958464157186	102.0222527624171
0.18	90.95508385506804	42.800673057964275	100.52226068536864
0.19	88.37642214524182	44.54953657312736	98.96996109969126
0.2	85.70999811562133	46.20254963822566	97.36980728158251
0.21	82.9629211024947	47.756341620430135	95.72624740804368
0.22	80.14243174930967	49.2078101186738	94.04370230572707
0.23	77.25587667043966	50.55413345501848	92.3265448801481
0.24	74.31068348330098	51.79278221651102	90.57908130182311
0.25	71.31433627495025	52.921529733352635	88.80553399228458
0.26	68.27435155850357	53.9384613916509	87.01002642243452
0.27	65.19825476554641	54.84198269254064	85.19656970865682
0.28	62.09355731314296	55.630825983644435	83.36905096870841
0.29	58.96773427803396	56.30405580333028	81.53122337969272
0.3	55.82820270601967	56.86107279269226	79.68669786432532
0.31	52.68230058120736	57.30161614435782	77.83893631906855
0.32	49.53726647758708	57.62576457088916	75.99124628831282
0.33	46.4002199141024	57.83393578852236	74.14677698233412
0.34	43.27814243381349	57.92688452414611	72.30851653294518
0.35000000000000003	40.17785942772898	57.90569906467353	70.47929037925171
0.36	37.10602272423625	57.77179637825286	68.66176067638993
0.37	34.06909396563235	57.52691584607183	66.85842662223003
0.38	31.073328793910722	57.17311165183903	65.071625600473
0.39	28.12476186857245	56.7127438833939	63.30353504305537
0.4	25.22919273970772	56.14846840734156	61.55617492004806
0.41000000000000003	22.392172599852998	55.48322558317525	59.83141077105837
0.42	19.618991938111776	54.720227888091145	58.13095719831493
0.43	16.914669119689272	53.86294652767346	56.45638174796168
0.44	14.283939913305927	52.91509711089047	54.80910911246326
0.45	11.73124798790683	51.88062447045043	53.19042559331207
0.46	9.260736398673478	50.763686711574856	51.601483769332035
0.47000000000000003	6.876240080577189	49.56863857370742	50.04330732172456
0.48	4.581279365606849	48.30001419063526	48.51679597254236
0.49	2.3790545373798175	46.96250933500122	47.022730498471745
0.5	0.272441434131641	45.56096323326717	45.56177778662894
0.51	-1.7360118918918859	44.10034003688632	44.13449590351961
0.52	-3.64408745381261	42.5857100347864	42.741339152370294
0.53	-5.44989854682584	41.02223069128259	41.38266309772126
0.54	-7.151889904330548	39.41512759225417	40.05872953948167
0.55	-8.748836799236015	37.769675380852014	38.769711421605976
0.56	-10.239843099933973	36.0911787621746	37.51569766317172
0.5700000000000001	-11.624338294209068	34.38495365427548	36.29669790194265
0.58	-12.902073498157675	32.65630856055938	35.11264714250873
0.59	-14.073116470963894	30.910526236102353	33.9634103028257
0.6	-15.137845660111536	29.1528457177069	32.84878665445315
0.61	-16.096943305264883	27.388444784587087	31.768514153030317
0.62	-16.951387632601012	25.62242291348622	30.72227365655482
0.63	-17.70244417479981	23.859784788769925	29.709693029856776
0.64	-18.351656255171452	22.1054244246252	28.730351134310727
0.65	-18.900834677504726	20.364109952941778	27.783781702314528
0.66	-19.352046666135262	18.640469126769787	26.869477096406893
0.67	-19.707604103444204	16.938975585449374	25.986891953108607
0.68	-19.970051114490182	15.263935923607466	25.13544671167284
0.6900000000000001	-20.142151050739123	13.61947760222764	24.31453102793413
0.7000000000000001	-20.226872926875846	12.009537735935213	23.52350707336886
0.71	-20.22737736645051	10.437852786515725	22.761712719340093
0.72	-20.147002113623948	8.907949188515355	22.02846460631197
0.73	-19.989247169524027	7.423134928572228	21.32306109760307
0.74	-19.75775961270591	5.986492095911748	20.644785117018937
0.75	-19.456318163920663	4.60087041722452	19.992906869482507
0.76	-19.088817555837995	3.2688817849454983	19.36668644358186
0.77	-18.659252768541034	1.9928957837843795	18.76537629479707
0.78	-18.171703191515455	0.7750362162349488	18.188223608065982
0.79	-17.630316772496105	-0.38282137626976664	17.634472538317855
0.8	-17.03929421291552	-1.4790512038739743	17.103366327655426
0.81	-16.40287326882674	-2.5122777416977904	16.59414929800925
0.8200000000000001	-15.725313215054292	-3.4813752811163226	16.106068718328782
0.8300000000000001	-15.010879528970674	-4.385466537585727	15.638376545714552
0.84	-14.263828848709561	-5.223920337218541	15.190331040332355
0.85	-13.488394258822291	-5.996348407701116	14.761198254476831
0.86	-12.68877095437118	-6.702601302378923	14.350253396757331
0.87	-11.869102332243791	-7.342763489400289	13.956782073047673
0.88	-11.033466556079544	-7.91714764069415	13.580081406555513
0.89	-10.185863638636409	-8.426288158254053	13.219461040104012
0.9	-9.330203082705296	-8.870933977699298	12.874244024455312
0.91	-8.470292118817198	-9.252040691377347	12.543767597217311
0.92	-7.609824574998099	-9.57076203535212	12.227383857538063
0.93	-6.752370410724173	-9.828440786484958	11.924460342382979
0.9400000000000001	-5.9013659440306	-10.026599117453424	11.634380510688223
0.9500000000000001	-5.06010479744675	-10.166928458964259	11.35654414207249
0.96	-4.2317295850848415	-10.251278919597373	11.09036765705555
0.97	-3.4192243598139487	-10.2816483146661	10.835284365867901
0.98	-2.6254078360229753	-10.26017085619414	10.590744652938548
0.99	-1.8529274000297842	-10.189105556591912	10.356216104019524
1.0	-1.1042539167461827	-10.070824398865494	10.131183582653795
1.01	-0.38167733777410123	-9.907800326212463	9.915149262329141
1.02	0.3126968872968543	-9.702595103653666	9.707632620199902
1.03	0.9769505979817115	-9.457847103922735	9.508170397719873
1.04	1.6093549132766605	-9.17625906919095	9.316316532932793
1.05	2.2083714334450306	-8.86058589934994	9.131642068533735
1.06	2.772652664483064	-8.513622516515724	8.953735039165979
1.07	3.3010416795823847	-8.138191854162267	8.782200340774127
